Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Lesson 4-result","Lesson 4-date and time","5S Test-result","5S Test-date and time"
kjsstudent1,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-3.1.1,80%,"2019-12-26 13:50:49",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-3.2.2,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-3.2.1,-,-,0%,"2019-12-26 13:51:16",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 3",V-3.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-3.3.2,-,-,-,-,0%,"2019-12-26 15:07:05",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-3.3.1,-,-,-,-,0%,"2020-01-03 08:36:42",-,-,-,-
kjsstudent1,Video,"Lesson 4",V-3.4.3,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent1,Video,"Lesson 4",V-3.4.2,-,-,-,-,-,-,0%,"2020-01-03 08:39:12",-,-
kjsstudent1,Video,"Lesson 4",V-3.4.1,-,-,-,-,-,-,10%,"2019-12-03 14:55:27",-,-
kjsstudent1,Video,"5S Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"5S Test","5S quiz",-,-,-,-,-,-,-,-,30point,"2020-01-06 14:15:25"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,○,"2019-12-26 07:51:31",-,-,-,-,-,-
