Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Kaizen Test-result","Kaizen Test-date and time"
kjsstudent1,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-2.1.2,0%,"2020-01-03 08:33:04",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-2.1.1,0%,"2020-01-03 08:30:04",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-2.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,Video,"Lesson 2",V-2.2.2,-,-,0%,"2020-01-03 08:33:45",-,-,-,-
kjsstudent1,Video,"Lesson 2",V-2.2.1,-,-,0%,"2020-01-03 08:33:26",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent1,Video,"Lesson 3",V-2.3.2,-,-,-,-,0%,"2020-01-03 08:35:30",-,-
kjsstudent1,Video,"Lesson 3",V-2.3.1,-,-,-,-,0%,"2020-01-03 08:35:07",-,-
kjsstudent1,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
