Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Lesson 4-result","Lesson 4-date and time","Productivity Test-result","Productivity Test-date and time"
kjsstudent1,Video,"Lesson 1",V-1.1.4,10%,"2020-01-06 12:49:04",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-1.1.3,0%,"2019-12-17 08:31:40",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-1.1.2,100%,"2020-01-06 12:49:20",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 1",V-1.1.1,10%,"2020-01-06 13:55:56",-,-,-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-1.2.3,-,-,0%,"2020-01-06 13:56:15",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-1.2.2,-,-,20%,"2019-12-27 07:35:49",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 2",V-1.2.1,-,-,100%,"2019-12-27 07:35:28",-,-,-,-,-,-
kjsstudent1,Video,"Lesson 3",V-1.3.4,-,-,-,-,0%,"2020-01-06 13:56:33",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-1.3.3,-,-,-,-,0%,"2019-12-26 13:41:44",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-1.3.2,-,-,-,-,0%,"2019-12-26 13:41:21",-,-,-,-
kjsstudent1,Video,"Lesson 3",V-1.3.1,-,-,-,-,0%,"2019-12-26 13:40:58",-,-,-,-
kjsstudent1,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,0%,"2019-12-26 13:58:23",-,-
kjsstudent1,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,0%,"2020-01-06 13:56:50",-,-
kjsstudent1,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,0%,"2019-12-26 13:49:19",-,-
kjsstudent1,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,0%,"2019-12-26 13:49:58",-,-
kjsstudent1,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,30point,"2020-01-06 12:45:14"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
