Name,contents,Course,Title,"Lesson 2-result","Lesson 2-date and time"
kjsstudent1,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
kjsstudent1,Video,"Lesson 2",V-3.2.1,0%,"2019-12-26 13:51:16"
kjsstudent1,quiz,"Lesson 2",-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,○,"2019-12-26 07:51:31"
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,report,"Lesson 2",-,-,-
kjsstudent2,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 2",V-3.2.1,0%,"2020-01-06 11:57:05"
kjsstudent2,quiz,"Lesson 2",-,-,-
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,report,"Lesson 2",-,-,-
tanjil,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 2",V-3.2.1,0%,"2020-01-06 10:43:28"
tanjil,quiz,"Lesson 2",-,-,-
tanjil,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,report,"Lesson 2",-,-,-
Arivu,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
Arivu,Video,"Lesson 2",V-3.2.1,10%,"2019-12-27 07:58:07"
Arivu,quiz,"Lesson 2",-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,○,"2019-12-27 01:58:17"
Arivu,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
Arivu,report,"Lesson 2",-,-,-
ts1,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
ts1,Video,"Lesson 2",V-3.2.1,0%,"0000-00-00 00:00:00"
ts1,quiz,"Lesson 2",-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
ts1,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
ts1,report,"Lesson 2",-,-,-
ts2,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
ts2,Video,"Lesson 2",V-3.2.1,10%,"2019-12-26 11:18:27"
ts2,quiz,"Lesson 2",-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
ts2,report,"Lesson 2",-,-,-
ts3,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
ts3,Video,"Lesson 2",V-3.2.1,20%,"2019-12-27 07:39:41"
ts3,quiz,"Lesson 2",-,-,-
ts3,questionnaire,"Lesson 2",Questionnaire,○,"2019-12-27 01:39:52"
ts3,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
ts3,report,"Lesson 2",-,-,-
説明用,Video,"Lesson 2",V-3.2.2,0%,"0000-00-00 00:00:00"
説明用,Video,"Lesson 2",V-3.2.1,0%,"0000-00-00 00:00:00"
説明用,quiz,"Lesson 2",-,-,-
説明用,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 2",Questionnaire,×,"0000-00-00 00:00:00"
説明用,report,"Lesson 2",-,-,-
