Name,contents,Course,Title,"Kaizen Test-result","Kaizen Test-date and time"
kjsstudent1,Video,"Kaizen Test",-,-,-
kjsstudent1,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Kaizen Test",-,-,-
kjsstudent1,report,"Kaizen Test",-,-,-
kjsstudent2,Video,"Kaizen Test",-,-,-
kjsstudent2,quiz,"Kaizen Test","Kaizen Quiz",20point,"2020-01-06 12:21:24"
kjsstudent2,questionnaire,"Kaizen Test",-,-,-
kjsstudent2,report,"Kaizen Test",-,-,-
tanjil,Video,"Kaizen Test",-,-,-
tanjil,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
tanjil,questionnaire,"Kaizen Test",-,-,-
tanjil,report,"Kaizen Test",-,-,-
Arivu,Video,"Kaizen Test",-,-,-
Arivu,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
Arivu,questionnaire,"Kaizen Test",-,-,-
Arivu,report,"Kaizen Test",-,-,-
ts1,Video,"Kaizen Test",-,-,-
ts1,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
ts1,questionnaire,"Kaizen Test",-,-,-
ts1,report,"Kaizen Test",-,-,-
ts2,Video,"Kaizen Test",-,-,-
ts2,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
ts2,questionnaire,"Kaizen Test",-,-,-
ts2,report,"Kaizen Test",-,-,-
ts3,Video,"Kaizen Test",-,-,-
ts3,quiz,"Kaizen Test","Kaizen Quiz",0点,"0000-00-00 00:00:00"
ts3,questionnaire,"Kaizen Test",-,-,-
ts3,report,"Kaizen Test",-,-,-
説明用,Video,"Kaizen Test",-,-,-
説明用,quiz,"Kaizen Test","Kaizen Quiz",20point,"2020-01-06 14:28:02"
説明用,questionnaire,"Kaizen Test",-,-,-
説明用,report,"Kaizen Test",-,-,-
